,OUR_SUMMARY
713,"""He looks forward to moving on with his life,"" he said. She also said that the woman supplied further evidence to prosecutors that she believed strengthened her allegations. No charges against TV's Cosby
US comedian Bill Cosby will not face charges stemming from an allegation of sexual misconduct. Cosby's lawyer, Walter M Phillips Jr, said the comedian was pleased with the decision. ""I think that's the only avenue open to her. She felt, as we did, that it's a very strong case and she was telling the truth."""
714,"RDF Media, which makes the show for US network ABC, has filed a damages claim for $18 million (£9.25 million) against Fox's Trading Spouses. ""We respect our producing partners' right to protect their intellectual property in whatever manner they deem most appropriate,"" said ABC in a statement. A spokesman for Fox said it had not seen the details of the legal action and could not comment. ABC bought the rights to the British show, which was first aired in 2003 and became a hit on Channel 4. NBC alleged that boxing regulations had been violated, but failed in their attempt to have the show pulled."
715,"His wife Sharon, who also appears in the popular MTV show based on the Osbournes' family life, agreed. ""Now everybody's doing reality shows. ""At the end of it I didn't like having cameras around the house all the time,"" the Black Sabbath singer told reporters at the MTV Europe Awards in Rome. He's done it, he's been there, he's got to do something else,"" she said. ""When you watch a 25-minute episode, I've been filming all day,"" he said. The renewed popularity for Ozzy has seen sales of his merchandise hit the $50m (£27.2m) mark, a record for a heavy metal artist. At its peak, The Osbournes had a regular audience of eight million, with America's TV Guide magazine describing the series as ""a cross between The Simpsons and This Is Spinal Tap""."
716,"When cricketer Phil Tufnell won in May 2003, 12.3 million people - 50% of the viewing public - tuned in to watch. The fourth series of the show peaked on Monday at 11.9m and 49.2% of the audience, just before Joe Pasquale won. Pasquale follows Kerry McFadden, Phil Tufnell and Tony Blackburn as winners of the show. Pasquale had been the show's hottest ever favourite to win, and its hosts Anthony McPartlin and Declan Donnelly, known as Ant and Dec, said Monday's deciding vote was the closest in the programme's history. His manager Robert Voice said: ""We've had interest from different TV producers. ""He wants to play the West End and do different things other than straightforward comedy. We are talking to a couple of West End producers about a musical."" He is very ambitious."
717,"Duran Duran show set for US TV
Chart stars Duran Duran are to appear in a VH1 special in the US including interviews and concert footage. ""They seemed like a perfect fit with our audience,"" said Rick Krim, VH1's vice president of music and talent. ""When we started playing together, we didn't try and make a really sort of mature album. Simon Le Bon said earlier this year that the group were not trying to update their sound too much. ""It's pretty much in line with a lot of stuff out there."" ""We're like any people who get very close. ""We wouldn't want to lose them [older fans] by trying too hard by trying to connect with a new audience,"" the singer said. Sometimes you argue with each other."
718,"Mr Aitken, who lives in Cleveland, said that after becoming light-headed, he ran towards the bedroom and knocked his head in a doorway. US show sued for rat-eating stunt
A US TV network is being sued for $2.5m (£1.3m) by a viewer who says he was disgusted by watching contestants eat dead rats in a stunt show. The hand-written, four-page lawsuit said: ""To have the individuals on the show eat and drink dead rats was crazy and from a viewer's point of view made me throw-up as well as another in the house at the same time."" Austin Aitken is taking action against NBC over its programme Fear Factor."
719,"The drama, now in its fourth series, begins on Sunday evening. Muslim group attacks TV drama 24
A British Muslim group has criticised the new series of US drama 24, which is about to be aired on Sky One, claiming it portrays Islam unfairly. It says the programme breaches editorial guidelines. The group's members met with Sky executives on Tuesday after viewing previews of the first five episodes. ""There is not a single positive Muslim character in the storyline to date. At a time when negative stereotypes of Muslims are on the increase we feel that Sky - as a major UK broadcaster - has a responsibility to challenge these insidious views, not help to reinforce them."""
720,"Brookside creator's Channel 4 bid
The creator of defunct TV soap Brookside has written to the culture minister to offer to buy Channel 4. A spokesman for the Department for Culture, Media and Sport said there were no plans to sell the channel. Redmond also brought teen soap Hollyoaks to Channel 4 and created Grange Hill, the school-based drama serial which was first broadcast on BBC One in 1978. Brookside was axed in 2003 after its ratings slumped from a peak of seven million to just 1.5 million."
721,"More than 1.8 million people watched the first episode of the latest series of Little Britain on BBC Three in October, giving the digital channel its highest rating ever. Lucas and Walliams won numerous awards for Little Britain in 2004, including National Television, Royal Television Society and British Comedy awards. The duo kept Phoenix Nights creator Peter Kay at number two and The Office star Ricky Gervais in third place. Other big risers over the past year included presenting duo Ant and Dec at five, up from 13 in 2004, Stephen Fry rising nine places to 15 and BBC Three controller Stuart Murphy, who moves to number 18 from 32 last year. They topped the Radio Times list after rising from 10th position last year."
722,"One woman, Victoria Lapete, found her sister - the only remaining member of her family - in Independence Square live on Meeting Point. She had not seen her sibling for 28 years. The ICRC also uses the media where it can, running four daily broadcasts of their lists of the missing on Radio Angola. ""When we saw each other, we threw ourselves into each other's arms,"" she told Assignment. The media in the southern African country, twice the size of France, has been gripped by the quest of so many people to find their relatives. ""We started to cry. I felt very, very happy, because I'd spent so long without any family. ""The programme of family reunification is extremely important, but for these families to remain reunified, there has to be social integration, job access, education, healthcare,"" said Rafael Marques of the pro-democracy George Soros Foundation for Southern Africa. ""When people are crossing these areas, they step on mines."" ""Essentially the government is waiting for the international community to pay for the reconstruction - that's why it has been persistently calling for a donor's conference."
723,"Volcano drama erupts on BBC One
Supervolcano, a docu-drama about a volcanic eruption in Yellowstone National Park in the US, is among the highlights on the BBC One this winter. Sarah Lancashire and Timothy Spall will star in the real-life drama, Cherished. The programme merges science, drama and computer imagery to reveal what could happen if Yellowstone - home to the only currently active supervolcano in the world - were to erupt again. Supervolcano, follows in the footsteps of last year's Pompei, which drew 10 million viewers to BBC One in October 2003. ITV also unveiled their festive season on Tuesday, which includes Stephen Fry in a remake of Tom Brown's Schooldays. The £178m winter schedule also includes the return of Doctor Who and a drama about Angela Cannings, who was wrongly convicted of killing two of her babies. In contrast, BBC's Christmas season includes terrestrial debuts of the first Harry Potter film, Shrek and Steven Spielberg's AI, as well as new epipsodes of the Vicar of Dibley and the final Auf Wiedersehen, Pet. Sir Paul McCartney, wife Heather Mills and Manchester United manager Sir Alex Ferguson will join a celebrity edition of Who Wants to be a Millionaire? on Christmas Day."
724,"Shane Meadows' Dead Man's Shoes picked up the best film award, beating Shaun of the Dead and My Summer of Love. South Bank Awards honour hit soap
Coronation Street has become the first soap to triumph at the South Bank Show Awards, which traditionally reward highbrow and groundbreaking culture. The two award ceremonies reflect the achievements the industry believes have been made in the last year. Author David Mitchell made up for losing out in the Booker Prize to Alan Hollinghurst by beating him to the literary award with his book Cloud Atlas. In other South Bank categories, Little Britain's second series beat Nighty Night and The Green Wing to the comedy trophy while Alan Bennett's The History Boys won in the theatre category."
725,"Digital multi-channel TV is continuing to be the strongest area of growth, with the BBC reporting Freeview box ownership of five million, including one million sales in the last portion of 2004. Celebrity Big Brother attracted less viewers than its 2002 series. Comedy drama Desperate Housewives managed to pull in five million viewers at one point during its run to date, attracting a quarter of the television audience. Its share of the audience soared by 20% in January 2005 compared with last year, and currently stands at an average of 28.6%."
726,"Baywatch dubbed 'worst TV import'
Surf show Baywatch has won the title of worst TV import of all time in a poll of UK television executives. Other American shows which won praise were The X-Files, I Love Lucy, Twin Peaks and Star Trek. The Jerry Springer Show, which came in at sixth on the list, did not fare well. Broadcast magazine said: ""British TV never realised how low it could go before Jerry showed the way."" Baywatch rose to the top of the list for having ""mind-numbingly predictable scripts: beachgoer is saved from drowning,"" according to the magazine."
727,"Citadel pulled Stern's show from stations in New York and Pennsylvania. Stern had been holiday for two weeks but his show did not return to the four stations as expected on 3 January. Stern dropped from radio stations
Controversial DJ Howard Stern has been dropped from four US radio stations because he keeps promoting his move to a network broadcasting on satellite. Citadel said it did not yet know whether it would return to its network. Stern was dropped by six stations owned by media giant Clear Channel in 2004 after it had to pay the Federal Communications Commission $1.75m (£950,000), over breaches indecency laws. The DJ's broadcasts are well known for landing in trouble with regulators for obscene and sexually explicit rantings."
728,"The presenter said that he is ""hopeful"" of getting better in time to lead the festivities in New York's Times Square. Clark's publicist Paul Shefrin said the television host was ""recovering"" and there was no cause for alarm. His popular music show American Bandstand was first broadcast in 1952, and attracted an audience of 20 million people after it was picked up by ABC in 1957. Clark is also expected to act as executive producer for the upcoming Golden Globe Awards ceremony, which is taking place on 16 January. The long-running weekly series, which featured guests including Elvis Presley, Buddy Holly and Aretha Frankin, came to an end in 1989."
729,"There were nearly 400 entries this year - a third more than last year. Categories include interactive TV, film, digital TV, mobile phones and music. The winners from 12 different categories are crowned on 2 March 2005. ""This year's nominees are a testament to the creative and innovative work going on within the industry,"" said Grant Dean, chair of the interactive committee. New media battle for Bafta awards
The BBC leads the nominations for the Bafta Interactive Awards, including one for the Radio Times website and one for Sport Interactive's Euro 2004 coverage. Shaun of the Dead, Oasis' Definitely Maybe, Really Bend It Like Beckham, The Chaplin Collection and The Day Today will battle it out in the DVD category."
730,"But William Hill's ""overwhelming evidence"" came on Friday when four unknown callers asked to place bets on the show's surprise double eviction. Shortly afterwards model Caprice and actor Jeremy Edwards left the show. Bets off after Big Brother 'leak'
A bookmaker has stopped taking bets on Celebrity Big Brother after claiming ""sensitive information"" about the Channel 4 show had been leaked. The bets were not taken. The bookmaker said its suspicions had been aroused by betting for the last two contestant evictions, when people were still trying to place large sums despite odds as short as 1/14. ""We felt no need whatsoever to close the book,"" spokesman Warren Lush said. ""We do not feel the need to investigate this further as we are satisfied that these measures are effective."" ""You do have to risk quite a lot of money for a very small gain but if they think there's no chance of an upset they will still do it,"" he said. The show's independent adjudicator - the Electoral Reform Services - was also satisfied, she added. Mr Lush added that people sometimes vote on short odds ""because they think it's like buying money""."
731,"School tribute for TV host Carson
More than 1,000 people turned out on Sunday to pay tribute to late US TV presenter Johnny Carson in the Nebraska town where he grew up. Old school friends were among the crowd at the school's Johnny Carson Theater. He began his showbusiness career in Norfolk, performing magic under the name The Great Carsoni from the age of 14. Carson, who was one of the best-loved TV personalities in the US, asked not to have a public memorial in Los Angeles, where he lived in later life."
732,"Comic Joe Pasquale remains odds on favourite to win the reality show. ""It's going to be close but Sheila is favourite as she has shown herself to be a bit of a troublemaker,"" said Ladbrokes' Warren Lush. Huggy Bear actor Antonio Fargas also remains a contender for eviction having ""done nothing to live up to the pre-show hype"". On Friday, Ladbrokes suspended betting after singer Brian Harvey quit the show folllowing a blazing row with Janet Street-Porter. Harvey, who entered the camp a day later than other contestants after learning that his grandmother had died, reached the end of his tether following days of meagre rations and rows."
733,"The episode featuring the 28-year-old will be screened on 25 January. The film star, who recently played the title role in historical blockbuster Alexander, will make a cameo appearance as an unruly Irishman. Farrell due to make US TV debut
Actor Colin Farrell is to make his debut on US television in medical sitcom Scrubs, according to Hollywood newspaper Daily Variety. The gentle Sunday night drama came to an end in 2001. Other film stars to have appeared in Scrubs include Heather Graham, while Friends actor Matthew Perry has guest-starred and directed an episode of the show."
734,"But she was pleased to have patched things up with actress Brigitte Nielsen, her former daughter-in-law. Ladbrokes spokesman Warren Lush said: ""We may have underestimated the power of the anti-McCririck brigade, but it's so hard to call with him, there are people out there who either love him or hate him, there is no middle ground."" She and John McCririck faced the public vote on Friday - 67% of people voted to keep the racing pundit in the house. ""That alone was worth $1m,"" she said. But McCririck has made some enemies with his outspoken views about women. Stallone evicted from Big Brother
Jackie Stallone, mother of actor Sylvester, has become the first star to be evicted from Celebrity Big Brother. She was hot favourite to be evicted first, with odds of 1/4 to leave."
735,"Ms Berman said: ""I think the audience expects loud things from Fox. One of the new shows will be the animated series American Dad, made by Seth MacFarlane, the creator of Family Guy. Sometimes they work, and sometimes they don't."" Last season, Fox's prime-time audience fell by 600,000 to 5.9 million. Chief executive Gail Berman said ""in the case of this fall we drifted to too much on the unscripted side"". She was predicting a drop in ratings even for some of the network's established reality shows, such as American Idol, which is due to start its fourth series this week. Fox had unveiled a new strategy last year promising to launch new shows every season, including the traditionally quiet summer season."
736,"He left London's Capital FM this year after 17 years. Comedian Harry Hill will host a spoof nostalgia show on Christmas Day, while singer Jamie Cullum will perform a live concert for the station. ""This should be great fun,"" Tarrant said. ""I've had a fantastic year and I know that lots of other people have as well. I'm definitely looking forward to being on Radio 2."""
737,"Music mogul Tony Wilson, who headed the record company Joy Division were signed to, will be co-executive producer. The musician committed suicide in 1980 aged 23, shortly before the band were due to go on tour in the US. The Manchester-based production is called Touching From A Distance, after a book by Curtis's widow Deborah which forms the basis for the film. Mr Wilson, who was also involved with Joy Division's sucessor band New Order, as well as the Happy Mondays, said he would ""rather not"" appear in the film. ""This is much more than the music - they want to do the real story of Ian,"" he said. ""I'm not an actor and I did a lousy job playing my part in 24 Hour Party People,"" said the Factory Records founder, who has been associated with the Manchester music scene since the 1970s. ""Film people have a tendency to mess up when they touch music, but I hope this one works."
738,"Singer Sam Endicott said he felt ""great"" about coming top of the Sound of 2005 list. Elsewhere on the top 10, second-placed rock band Bloc Party began their rise after supporting Franz Ferdinand and UK garage MC Kano, in third, is signed to The Streets' record label. The Bravery, who have been compared to The Cure and New Order, were the most heavily-tipped act in the survey of 110 impartial critics and broadcasters. ""The Bravery are proof alone that New York City is still home to hot new talent,"" he said. Q magazine reviews editor Ted Kessler said they were ""pretty-boy New York clothes horses"" with ""an unusually nimble ear for concise, yearning pop in the mould of Duran Duran or The Strokes"". US rapper The Game is hip-hop great Dr Dre's latest protege while Leeds group Kaiser Chiefs came fifth with a promise to lead a Britpop revival. ""Great songs, a good look, a touch of attitude and a cracking live band."" In last year's survey, Keane were followed by Franz Ferdinand, Razorlight and Joss Stone in the top five - all of whom were virtually unknown outside the music industry at that point. The artists could be from any country and any musical genre, but must not have had a UK top 20 single, been a contestant on a TV talent show or already be famous for doing something else, such as a soap actor. Those tips were then counted and compiled to make the top 10."
739,"Aaliyah claim dismissed by court
Late R&B star Aaliyah's record company has failed in an attempt to sue the video producer who booked the ill-fated flight on which she died in 2001. Blackground Records' lawyer Frank Penski said he had yet to examine the decision and did not know whether they would pursue the case. A post-mortem carried out on the remains of the pilot showed there was cocaine and alcohol in his body. Aaliyah was a rising star in music and film before she was killed. An investigation into the crash revealed the twin-engined Cessna was overloaded by 700 pounds (320kg)."
740,"Peel died after suffering a heart attack in Peru in October. Radio 1 said the three DJs had been chosen for their ""in-depth musical knowledge across a variety of musical genres"". His show is dedicated to showcasing the best of UK black music and broadcasts live sessions, often giving new artists their first chance to perform on live national radio. Rob Da Bank has been hosting The John Peel Show since the DJ's death. Stephens said he grew up ""listening to John"" and that it was a ""massive honour"" to continue Peel's work championing new music. ""It is widely accepted that John Peel can never be replaced,"" said the radio station. It added that One Music would support both signed and unsigned talent, and said: ""It will seek out those making music for music's sake rather than for commercial success. All of the three DJs will continue to host their current shows on Radio 1. ""Above all it will provide support to emerging genres of music and styles that have not yet and may never reach the mainstream."""
741,"Connick Jr to lead Broadway show
Singer and actor Harry Connick Jr is to star in a Broadway revival of 1950s hit musical The Pajama Game. The musical will open in November, said Mr Richards, who added that no other casting had been announced yet. Jeffrey Richards, the show's co-producer, said Connick was ""an actor of enormous charisma and skill, a wonderful singer and a bona fide star"". It had a three-month run on Broadway in 2001."
742,"A three-day Elvis convention took place in Blackpool, England, over the weekend with the aim of finding the best European Elvis impersonator. His Graceland, Tennessee, home was the focus for US celebrations with four days of events including a concert by the Memphis Symphony Orchestra. Record company SonyBMG are releasing Elvis' 18 number one singles at the rate of one a week in Britain, complete with original artwork and a collector's box. HMV spokesman Gennaro Castaldo said: ""It would be a fantastic and truly fitting way to celebrate Elvis' landmark birthday."""
743,"Elvis regains top chart position
Elvis Presley has scored his 19th number one single in the UK charts with the re-release of Jailhouse Rock, 27 years after his death. Fans around the world held tribute events for the singer on Saturday, ranging from concerts to memorabilia exhibitions. In at number three was Iron Maiden for the Number Of The Beast and Erasure entered the chart at four with Breathe. In the album charts, the Scissor Sisters went to number one with their self-titled release, knocking Green Day's American Idiot to third place. Record company SonyBMG are releasing Elvis's 18 number one singles at the rate of one a week in Britain, complete with original artwork and a collector's box. Making up the top 10 are Boulevard of Broken Dreams by Green Day, down three places to number nine, and Out of Touch by Uniting Nations, also down three places to 10. The Killers' album Hot Fuss moved up three to number two."
744,"Pop band Busted to 'take a break'
Chart-topping pop band Busted have confirmed that they plan to ""take a break"", following rumours that they were on the verge of splitting. However they said that Busted would ""reconvene in due course"". Their singles include What I Go To School For, Year 3000, Crashed The Wedding, You Said No, and Who's David? The band, which also includes members Matt Jay and James Bourne, made the top ten with their self-titled debut album, as well as the follow-up, A Present For Everyone, in 2003. However, recent rumours have suggested that Simpson has been wanting to quit the band to focus on Fightstar. The band have capitalised on a craze for artists playing catchy pop music with rock overtones."
745,"With a cool, spiky, fun sound previously associated with bands like Talking Heads, they hit upon a style that had been out of fashion for a while and so was ripe for another airing. With their self-titled debut, Franz Ferdinand have achieved what most rock bands crave - high credibility and critical acclaim while also selling stacks of CDs. They have been nominated for three Grammy awards in the US as well as the US music industry's Shortlist award, but lost the Shortlist prize to US band TV on the Radio. Singer Alex Kapranos was studying English at university but had friends at art school, and the line-up was completed when guitarist Nick McCarthy moved from Munich, Germany, to the city. ""We want people to go away from the gigs humming the tunes that we were singing. ""Where's the fun in that?"" The band started out with a DIY ethic that saw them take over a disused art-deco warehouse in Glasgow and rename it The Chateau. The buzz about the band soon spread around the music industry and 40 record labels turned up to one gig in Glasgow - which the band thought was ""totally ridiculous"". ""I'm really glad it was almost comical because we weren't overwhelmed by the seriousness of it,"" Kapranos said. But the charges of running an illegal bar and contravening health and safety, fire hazard and noise abatement laws were dropped."
746,"Singer Knight backs anti-gun song
R&B star Beverley Knight said she sang on an anti-gun single after being ""haunted"" by the fatal 2003 shooting of two teenage girls in Birmingham. There were more than 10,500 firearms offences and 70 gun crime deaths in England and Wales between June 2003 and 2004, according to Home Office figures. Size said he collaborated on the single, which was released on Monday, because he has ""a bird's eye view of what's going on"". Size became involved after two friends, Donna Small and Asha Jama, were shot in his Bristol hometown in October. ""It haunted me to be honest, it haunted my sleep,"" she said."
747,"""We're actually into it as we speak. We took some time off for Christmas, but generally we're doing another record,"" Barrow told the digital radio station. Portishead will play alongside fellow Bristol band Massive Attack at Oxfam's Tsumani appeal, held at the Bristol Academy on 19 February. ""We've just had our heads down really, we've never actually broken up, or parted, or whatever. ""So for us it just seems, even though we haven't played for years, we still see each other and write - we just haven't released a record for a long time."" Portishead became an international success and a deeply influential band despite their scant recorded output. Barrow said he was surprised people thought the band, who won a Mercury Music Prize in 1995 for their debut album Dummy, had split up."
748,"He was greeted by a sell-out crowd at the University of Warwick. While Simpson declared he would look back with pride on Busted's enormous success, his focus turned immediately to Fightstar, with Friday's press conference coinciding with the start of the band's 13-date tour of the UK. We had completely sold out by 4pm."" Gone were the screaming girls to which Simpson had become accustomed. Although many dedicated fans travelled to the gig from around the country, they faced a tough crowd made up chiefly of students, the average age of the audience far exceeding that of any Busted concert. ""This has been a really difficult decision,"" 19-year-old Simpson revealed, ""I hope the fans will understand."" Mike Eccleshall, the venue's Promotions Coordinator, said: ""Tickets had been selling strongly over the past few days, but sales went mad after the news broke. When they eventually got under way, Fightstar's blend of emotionally charged rock was warmly received. Far heavier and less commercial than Busted's chart-topping pop-punk, the band will undoubtedly appeal to a more mature fan-base. ""I've never heard them before, but I'm pretty impressed."""
749,"But his next single, It's Now Or Never, will face a challenge from tsunami charity single Grief Never Grows Old. The king of rock 'n' roll has already had consecutive chart-toppers with Jailhouse Rock and One Night. Record company Sony BMG is now manufacturing 5,000 more copies of each single than originally planned to meet demand, taking the total number of copies of each song on sale to about 28,000. The latest release is currently outselling the Chemical Brothers' comeback single Galvanize plus other new releases from Athlete, Ciara and Feeder. Presley's 18 original number ones are being reissued as limited release singles, with fans eager to buy the set to fill a collector's box that went on sale in the first week."
750,"Winners were chosen from ten categories to reflect different continents. Winner in the Africa category was Malian desert blues band Tinariwen, formed from the nomadic people of the southern Sahara. The concert will be broadcast on Radio 3's World Music Day the following evening and will feature performances by many of the award winners. A special Poll Winners concert, hosted by Eliza Carthy and Benjamin Zephaniah will take place at The Sage in Gateshead on 5 March. Cuban pianist Bebo Valdes and flamenco singer Diego El Cigala, responsible for critically acclaimed album Lagrimas Negrasmusic, won an award in the ""boundary crossing"" category."
751,"It is his second number one in a row. Mario Kombou, who plays the Presley role on stage, will sing One Night on Friday's BBC One show as producers are unable to use Presley video footage. A Top of the Pops spokesperson said: ""It's a very special number one as it's the UK's 1,000th. ""We wanted to pay tribute to Elvis in the best way we knew how, so we thought getting a professional would be the best way for Top of the Pops to do that."""
752,"Blue beat U2 to top France honour
Irish band U2 have been honoured at France's biggest music awards, but were beaten to a prize by boy band Blue. More than five million radio listeners voted in the awards. Collecting his band's award from model Naomi Campbell at the Cannes ceremony, U2 frontman Bono said in French: ""I'm not from this country but I'll make a little confession to you - it's at the Cote d'Azur I feel at home."" Hosted by radio group NRJ, the ceremony featured performances from Usher and Jennifer Lopez, who was accompanied by dancers clad in schoolgirl outfits. Singer Jenifer also took home two awards, for best French female singer and best French album."
753,"After becoming a full-time member, Edwards became a critical part of the band, writing lyrics and playing guitar - though in many concerts, he was not actually plugged in. The discovery leads many to believe he has killed himself. The rest of the band stop touring and recording. Graham and Sherry Edwards fly to the Spanish island of Fuerteventura six weeks after reports a man fitting their son's description has been seen in a bar called Underground. The Manics win best band and best album for Everything Must Go at the Brit Awards. The last song written by Edwards - a song called Judge Y'Self, which was to have been used for the Judge Dredd film soundtrack - is released on the B-side compilation Lipstick Traces. The report comes to nothing. ""I'd just like to say to him if he is able to listen that we do love him very much and we'd like him to come back - me, mum and dad,"" she said. They refuse. A skeleton found by the River Severn is not Edwards, tests reveal."
754,"The group are set to release their first single on 21 February, and follow it up with an album, Realise And Witness, in March. Mogul Wilson backing UK rap band
Tony Wilson, the music mogul who established the influential Factory Records in the 1980s, is to launch a new label - convinced he has discovered his ""third major band"". The story of Factory records - which also owned the legendary Hacienda club in Manchester - was told in the Michael Winterbottom film 24 Hour Party People, in which Wilson was played by Steve Coogan. But it has not put him off. ""The idea of working with brilliant young musicians, and being close to the centre of popular culture, is just the biggest thrill in my life."" ""I think that is a reflection of how useful and how powerful the indie philosophy is, and how bands prefer it,"" he added. Wilson stressed that the independent music scene remained ""as important"" as it had been during the 1980s, when labels such as Factory and Rough Trade proliferated. ""They can make more money that way - it's a more generous relationship, and also it's a more understanding relationship. ""I think independents are in a wonderful position at this moment in time."""
755,"Sizzla, whose real name is Miguel Collins, has released 25 albums since 1995 and is credited with taking dancehall music back to its reggae origins. He was charged under a law which prohibits indecent dress or expression. It would not confirm that Sizzla was among them. One of his most controversial songs, Pump Up, contains the Jamaican patois lyrics ""fire fi di man dem weh go ride man behind"", translated by gay rights group OutRage! as ""burn the men who have sex with men""."
756,"She is now seeking to be reimbursed for the tour's £5m ($9.3m) costs in a claim filed at New York State Supreme Court. The 22-year-old star initially missed a number of shows on the 82-date tour after injuring her knee during a show in Illinois last March. ""She obviously took a wrong step and blew out her knee,"" a Jive spokeswoman said at the time. ""It was an old dance injury."" The Onyx Hotel tour was cited as ""a highly crafted production which included the well-known music and dancing of Spears, supported by elaborate costumes, complex choreography as well as cutting-edge video production, lighting and other effects""."
757,"said they were ""wiping the slate clean"". But the artists themselves were not involved in the negotiations and have not directly signed up. Instead, the record companies have pledged not to release or re-release any offensive songs - many of which date back a number of years. Deal to ban 'homophobic' reggae
The reggae industry is to refuse to release or stage concerts featuring homophobic songs under a global deal struck with gay rights groups. The protests had been led by the Stop Murder Music coalition, an umbrella group including OutRage!, the Black Gay Men's Advisory Group and Jamaican movement J-Flag. Brett Lock of gay group OutRage! The industry would halt any attempt by an artist to perform or release a song inciting violence against any group or gender, he said. ""If you can't have major stars touring, then you don't sell many albums,"" he said. 's Mr Lock said: ""The main players in the dancehall reggae industry will attempt to regulate the industry themselves to ensure that there aren't any violently homophobic or gay-bashing lyrics in the future. ""We'll advise them this is not the way forward in a civilised society."""
758,"Her second album Mind, Body & Soul reached number one in the UK charts last October and went straight into the US charts at number 11. Soul sensation ready for awards
South West teenage singing sensation, Joss Stone, has been nominated in three categories in Wednesday's Brit awards. The 17-year-old singer is hoping to tour in Japan, Australia and the US in 2005."
759,"The singer's 2004 tour took $90.3m (£48.5m) in ticket sales and he sold 1.9 million copies of his latest album Musicology. ""Prince returned to centre stage after a decade in the commercial wilderness,"" the magazine reported. Although she grossed more than Prince last year, Madonna remained in second place because of the ""monumental"" production costs of her tour. Veterans Simon and Garfunkel were in 10th place, their comeback tour helping them earn $24.9m (£13.4m) last year. Heavy metal band Metallica's Madly in Anger with the World tour helped push their 2004 earnings up to $43.1m (£23.1m)."
760,"I don't like doing this at all. Viewers of digital music TV channel MTV Base voted Stone the winner in the best urban act category. ""I don't even know what to do right now. The teenager also has Grammy nominations in the US, normally dominated by home-grown acts. Thank you all you guys for voting for me, I feel sick right now."" Indie Rock group Muse consists of Matthew Bellamy, Chris Wolstenholme and Dominic Howard who met in their early teens in Teignmouth, south Devon. After beating Amy Winehouse, Jamelia, Natasha Bedingfield and PJ Harvey to the best British female prize, Joss Stone said: ""I don't know what to say. So to win something like this really feels great."" The third studio album, Absolution, was released in 2003, providing the hit singles Time Is Running Out, Hysteria, and Butterflies And Hurricanes. The band released its first self-titled EP in 1998."
761,"She is asking a Los Angeles court to award her half the musician's property, a monthly allowance and damages. The woman, Robin Mantooth, said Mars promised her repeatedly that he would provide financial support in the event of the couple breaking up. She is also claiming that Mars, 53, has failed to provide her with any material support since they ceased to be a couple. They originally formed in the early 1980s and scored six hits in the UK, including Girls Girls Girls in 1987. He suffers from a degenerative rheumatic disease which causes ligaments and tendons to attach to the bone."
762,"Glasgow group Franz Ferdinand won two prizes, as did Keane and Joss Stone, who was voted best urban act by digital TV viewers. I am a regular listener to Radio 2 but I don't recall the invitation to vote for this bland, slushy rubbish which might appeal to the masses who wouldn't know a good song if it jumped up and bit them on the nose but is certainly NOT the best song of the last 25 years. Angels is without doubt a great song but I really don't think it deserves the title of best song in 25 years.perhaps the vote had more to do with teenage opinion on Robbies' goodlooks than the actual song!!! Without Angels, Robbie Williams may well not be where he is now, and Britain would have been deprived of one of its most charismatic and talented performing artists. Not a chance. Best song in the last 25 years? It's a mediocre, sentimental and safe song. Well done Rob. This is just another example of record company manipulation to keep an artist in the public eye. I think Angels is a great song and deserved to be in the run up for this award but I don't think its the best song from the past 25 years!"
763,"Jamelia's return to the top
R&B star Jamelia had three Brit nominations to go with her triple triumph at last year's Mobo awards. While she originally planned to get back to work pretty swiftly after giving birth it was actually two years before she released another single. Her comeback song Bout featuring Rah Digga only just scrapped into the top 40. It was her next single, Superstar, that really put her back on the map as one of Britain's most popular female R&B singers, holding her own in a music scene dominated by US artists such as Beyonce and Ashanti. Despite her huge success in recent years, Jamelia remains down-to-earth about her fame and her chances of lasting in the fickle music business, partly due to motherhood. She now combines singing with modelling and supporting charities including the NSPCC and Make Trade Fair. ""When I first got into the industry, I'd be away from home for months at a time. But now I have other things in my life. I still want to make it, but it's not the end of the world if I don't,"" commented Jamelia."
764,"""No-one's doing it at the minute. Music feels like it's in the afterlife right now. Kasabian's self-titled album was released last September to widespread critical acclaim, its indie dance stance drawing comparisons to The Stone Roses, Primal Scream and The Happy Mondays. ""We got a computer and we cut rock'n'roll up, because there's no point in going back to how it was,"" said Meighan. Signed to the RCA record label, Kasabian tested the water with two singles, Club Foot and LSF, which reached numbers 19 and 10 in the UK singles chart respectively. Coincidentally it is also the Armenian term for ""butcher"". ""It's all about new ideas and creativity."" This is what it's all about and without it we'd be lost souls. They built up their following on the summer festival circuit, opening both Glastonbury and T in the Park, and at a series of ""guerilla gigs"" at unusual venues including Half Time Orange, a pub next to Leicester City football club's headquarters. ""This is the best life we could ever have."
765,"Joss Stone is a soul artist. It's got nothing to do with what's really going on. It's just a way of the industry clumping it all together without having to call it black music, because some people are oversensitive and might call them racist for it. Joss Stone is simply singing a certain type of music that can be considered urban in style, just as someone from an inner city, and indeed not from the USA could sing country music. If Joss Stone can be accepted within the urban music community, I think acts from other ethnicities doing classical music and rock should be accepted too. As a black man, I think I agree with some of the statements at least the statements made by the key executives. Why does music have to be put into a genre? Good on her. The word wasn't even in use, or common use five of six years ago. What if The Streets had won?"
